counter_name,timestamp,value,hostname
container_cpu_usage,1763084524030155.000000,252.905000,
container_cpu_usage,1763084525027683.750000,251.639000,
container_cpu_usage,1763084527031689.500000,248.929000,
container_cpu_usage,1763084528055931.750000,250.122000,
container_cpu_usage,1763084528075717.000000,250.122000,
container_gpu_mem_usage,1763084520375017.500000,1.067000,
container_gpu_mem_usage,1763084520375017.500000,90.518000,
container_gpu_mem_usage,1763084521226735.750000,1.067000,
container_gpu_mem_usage,1763084521226735.750000,90.518000,
container_gpu_mem_usage,1763084522356203.750000,1.067000,
container_gpu_mem_usage,1763084522356203.750000,90.518000,
container_gpu_mem_usage,1763084523436774.000000,1.067000,
container_gpu_mem_usage,1763084523436774.000000,90.518000,
container_gpu_mem_usage,1763084524394477.250000,1.067000,
container_gpu_mem_usage,1763084524394477.250000,90.518000,
container_gpu_mem_usage,1763084525274868.750000,1.067000,
container_gpu_mem_usage,1763084525274868.750000,90.518000,
container_gpu_mem_usage,1763084526328259.750000,1.067000,
container_gpu_mem_usage,1763084526328259.750000,90.518000,
container_gpu_mem_usage,1763084527434006.250000,1.067000,
container_gpu_mem_usage,1763084527434006.250000,90.518000,
container_gpu_mem_usage,1763084528558295.500000,1.067000,
container_gpu_mem_usage,1763084528558295.500000,90.518000,
container_gpu_usage,1763084520375017.500000,0.000000,
container_gpu_usage,1763084520375017.500000,10.000000,
container_gpu_usage,1763084521226735.750000,0.000000,
container_gpu_usage,1763084521226735.750000,11.000000,
container_gpu_usage,1763084522356203.750000,0.000000,
container_gpu_usage,1763084522356203.750000,12.000000,
container_gpu_usage,1763084523436774.000000,0.000000,
container_gpu_usage,1763084523436774.000000,11.000000,
container_gpu_usage,1763084524394477.250000,0.000000,
container_gpu_usage,1763084524394477.250000,10.000000,
container_gpu_usage,1763084525274868.750000,0.000000,
container_gpu_usage,1763084525274868.750000,11.000000,
container_gpu_usage,1763084526328259.750000,0.000000,
container_gpu_usage,1763084526328259.750000,9.000000,
container_gpu_usage,1763084527434006.250000,0.000000,
container_gpu_usage,1763084527434006.250000,10.000000,
container_gpu_usage,1763084528558295.500000,0.000000,
container_gpu_usage,1763084528558295.500000,10.000000,
container_mem_usage,1763084524030155.000000,0.294000,
container_mem_usage,1763084525027683.750000,0.298000,
container_mem_usage,1763084527031689.500000,0.305000,
container_mem_usage,1763084528055931.750000,0.310000,
container_mem_usage,1763084528075717.000000,0.310000,
container_mem_used,1763084524030155.000000,3176579072.000000,
container_mem_used,1763084525027683.750000,3216023552.000000,
container_mem_used,1763084527031689.500000,3301875712.000000,
container_mem_used,1763084528055931.750000,3346337792.000000,
container_mem_used,1763084528075717.000000,3346337792.000000,
cpu_frequency,1763084520216458.500000,3500.257000,
cpu_frequency,1763084520216458.500000,3500.000000,
cpu_frequency,1763084520216458.500000,3500.064000,
cpu_frequency,1763084520216458.500000,3499.853000,
cpu_frequency,1763084520216458.500000,3499.941000,
cpu_frequency,1763084520216458.500000,3500.131000,
cpu_frequency,1763084520216458.500000,3484.728000,
cpu_frequency,1763084520216458.500000,3488.914000,
cpu_frequency,1763084520216458.500000,3499.975000,
cpu_frequency,1763084520216458.500000,3499.691000,
cpu_frequency,1763084520216458.500000,3500.052000,
cpu_frequency,1763084520216458.500000,3500.033000,
cpu_frequency,1763084520216458.500000,3499.938000,
cpu_frequency,1763084520216458.500000,3499.642000,
cpu_frequency,1763084520216458.500000,3500.004000,
cpu_frequency,1763084520216458.500000,3499.994000,
cpu_frequency,1763084520216458.500000,3499.988000,
cpu_frequency,1763084520216458.500000,3499.925000,
cpu_frequency,1763084520216458.500000,3499.622000,
cpu_frequency,1763084520216458.500000,3500.324000,
cpu_frequency,1763084520216458.500000,3501.096000,
cpu_frequency,1763084520216458.500000,3295.944000,
cpu_frequency,1763084520216458.500000,3397.434000,
cpu_frequency,1763084520216458.500000,3481.566000,
cpu_frequency,1763084520216458.500000,3500.685000,
cpu_frequency,1763084520216458.500000,3500.251000,
cpu_frequency,1763084520216458.500000,3204.000000,
cpu_frequency,1763084520216458.500000,3435.874000,
cpu_frequency,1763084520216458.500000,3499.789000,
cpu_frequency,1763084520216458.500000,3500.029000,
cpu_frequency,1763084520216458.500000,3499.956000,
cpu_frequency,1763084520216458.500000,3499.916000,
cpu_frequency,1763084520216458.500000,3508.474000,
cpu_frequency,1763084520216458.500000,3500.070000,
cpu_frequency,1763084520216458.500000,3498.241000,
cpu_frequency,1763084520216458.500000,3469.206000,
cpu_frequency,1763084520216458.500000,3500.076000,
cpu_frequency,1763084520216458.500000,3499.130000,
cpu_frequency,1763084520216458.500000,3500.241000,
cpu_frequency,1763084520216458.500000,3498.967000,
cpu_frequency,1763084520216458.500000,3500.354000,
cpu_frequency,1763084520216458.500000,3499.978000,
cpu_frequency,1763084520216458.500000,3499.951000,
cpu_frequency,1763084520216458.500000,3499.898000,
cpu_frequency,1763084520216458.500000,3500.003000,
cpu_frequency,1763084520216458.500000,3500.094000,
cpu_frequency,1763084520216458.500000,3499.989000,
cpu_frequency,1763084520216458.500000,3500.028000,
cpu_frequency,1763084520216458.500000,3499.281000,
cpu_frequency,1763084520216458.500000,3498.556000,
cpu_frequency,1763084520216458.500000,3499.999000,
cpu_frequency,1763084520216458.500000,3406.025000,
cpu_frequency,1763084520216458.500000,3499.610000,
cpu_frequency,1763084520216458.500000,3506.986000,
cpu_frequency,1763084520216458.500000,3499.967000,
cpu_frequency,1763084520216458.500000,3500.087000,
cpu_frequency,1763084520216458.500000,3491.166000,
cpu_frequency,1763084521217424.500000,3500.000000,
cpu_frequency,1763084521217424.500000,3499.915000,
cpu_frequency,1763084521217424.500000,3500.380000,
cpu_frequency,1763084521217424.500000,3245.730000,
cpu_frequency,1763084521217424.500000,3499.183000,
cpu_frequency,1763084521217424.500000,3178.577000,
cpu_frequency,1763084521217424.500000,3500.004000,
cpu_frequency,1763084521217424.500000,3500.115000,
cpu_frequency,1763084521217424.500000,3500.034000,
cpu_frequency,1763084521217424.500000,3499.827000,
cpu_frequency,1763084521217424.500000,3499.945000,
cpu_frequency,1763084521217424.500000,3388.077000,
cpu_frequency,1763084521217424.500000,3482.592000,
cpu_frequency,1763084521217424.500000,3499.934000,
cpu_frequency,1763084521217424.500000,3298.244000,
cpu_frequency,1763084521217424.500000,3472.240000,
cpu_frequency,1763084521217424.500000,3499.861000,
cpu_frequency,1763084521217424.500000,3499.952000,
cpu_frequency,1763084521217424.500000,3500.046000,
cpu_frequency,1763084521217424.500000,3499.943000,
cpu_frequency,1763084521217424.500000,3499.939000,
cpu_frequency,1763084521217424.500000,3499.930000,
cpu_frequency,1763084521217424.500000,3499.848000,
cpu_frequency,1763084521217424.500000,3506.603000,
cpu_frequency,1763084521217424.500000,3500.164000,
cpu_frequency,1763084521217424.500000,3500.028000,
cpu_frequency,1763084521217424.500000,3499.953000,
cpu_frequency,1763084521217424.500000,3500.025000,
cpu_frequency,1763084521217424.500000,3333.988000,
cpu_frequency,1763084521217424.500000,3500.068000,
cpu_frequency,1763084521217424.500000,3497.925000,
cpu_frequency,1763084521217424.500000,3364.706000,
cpu_frequency,1763084521217424.500000,3406.544000,
cpu_frequency,1763084521217424.500000,3387.107000,
cpu_frequency,1763084521217424.500000,3500.151000,
cpu_frequency,1763084521217424.500000,3491.421000,
cpu_frequency,1763084521217424.500000,3501.534000,
cpu_frequency,1763084521217424.500000,3113.263000,
cpu_frequency,1763084521217424.500000,3454.179000,
cpu_frequency,1763084521217424.500000,3499.352000,
cpu_frequency,1763084521217424.500000,3500.150000,
cpu_frequency,1763084521217424.500000,3208.222000,
cpu_frequency,1763084521217424.500000,3499.999000,
cpu_frequency,1763084521217424.500000,3499.100000,
cpu_frequency,1763084521217424.500000,3504.581000,
cpu_frequency,1763084521217424.500000,3500.083000,
cpu_frequency,1763084521217424.500000,3500.121000,
cpu_frequency,1763084521217424.500000,3499.720000,
cpu_frequency,1763084521217424.500000,3500.021000,
cpu_frequency,1763084521217424.500000,3500.854000,
cpu_frequency,1763084521217424.500000,3497.982000,
cpu_frequency,1763084521217424.500000,3395.460000,
cpu_frequency,1763084521217424.500000,3327.266000,
cpu_frequency,1763084521217424.500000,3498.932000,
cpu_frequency,1763084521217424.500000,3343.742000,
cpu_frequency,1763084521217424.500000,3500.654000,
cpu_frequency,1763084521217424.500000,3500.029000,
cpu_frequency,1763084521217424.500000,3461.922000,
cpu_frequency,1763084521217424.500000,3499.873000,
cpu_frequency,1763084521217424.500000,3499.891000,
cpu_frequency,1763084521217424.500000,3499.950000,
cpu_frequency,1763084521217424.500000,3477.298000,
cpu_frequency,1763084522258675.500000,3500.000000,
cpu_frequency,1763084522258675.500000,3500.084000,
cpu_frequency,1763084522258675.500000,3500.005000,
cpu_frequency,1763084522258675.500000,3500.055000,
cpu_frequency,1763084522258675.500000,3499.948000,
cpu_frequency,1763084522258675.500000,3500.038000,
cpu_frequency,1763084522258675.500000,3499.690000,
cpu_frequency,1763084522258675.500000,3500.122000,
cpu_frequency,1763084522258675.500000,3500.052000,
cpu_frequency,1763084522258675.500000,3499.986000,
cpu_frequency,1763084522258675.500000,3500.056000,
cpu_frequency,1763084522258675.500000,3499.998000,
cpu_frequency,1763084522258675.500000,3500.001000,
cpu_frequency,1763084522258675.500000,3500.013000,
cpu_frequency,1763084522258675.500000,3499.310000,
cpu_frequency,1763084522258675.500000,3498.111000,
cpu_frequency,1763084522258675.500000,3500.096000,
cpu_frequency,1763084522258675.500000,3499.997000,
cpu_frequency,1763084522258675.500000,3500.022000,
cpu_frequency,1763084522258675.500000,3499.923000,
cpu_frequency,1763084522258675.500000,3499.960000,
cpu_frequency,1763084522258675.500000,3500.071000,
cpu_frequency,1763084522258675.500000,3499.925000,
cpu_frequency,1763084522258675.500000,3499.961000,
cpu_frequency,1763084522258675.500000,3500.050000,
cpu_frequency,1763084522258675.500000,3500.009000,
cpu_frequency,1763084522258675.500000,3500.010000,
cpu_frequency,1763084522258675.500000,3500.046000,
cpu_frequency,1763084522258675.500000,3499.049000,
cpu_frequency,1763084522258675.500000,3499.994000,
cpu_frequency,1763084522258675.500000,3499.887000,
cpu_frequency,1763084522258675.500000,3498.211000,
cpu_frequency,1763084522258675.500000,3496.487000,
cpu_frequency,1763084522258675.500000,3501.009000,
cpu_frequency,1763084522258675.500000,3499.999000,
cpu_frequency,1763084522258675.500000,3500.092000,
cpu_frequency,1763084522258675.500000,3502.369000,
cpu_frequency,1763084522258675.500000,3499.912000,
cpu_frequency,1763084522258675.500000,3499.908000,
cpu_frequency,1763084522258675.500000,3500.003000,
cpu_frequency,1763084522258675.500000,3500.062000,
cpu_frequency,1763084522258675.500000,3499.876000,
cpu_frequency,1763084522258675.500000,3500.059000,
cpu_frequency,1763084522258675.500000,3502.215000,
cpu_frequency,1763084522258675.500000,3498.900000,
cpu_frequency,1763084522258675.500000,3498.672000,
cpu_frequency,1763084522258675.500000,3500.252000,
cpu_frequency,1763084522258675.500000,3501.283000,
cpu_frequency,1763084522258675.500000,3499.952000,
cpu_frequency,1763084522258675.500000,3500.002000,
cpu_frequency,1763084522258675.500000,3500.288000,
cpu_frequency,1763084522258675.500000,3499.893000,
cpu_frequency,1763084522258675.500000,3500.039000,
cpu_frequency,1763084522258675.500000,3499.954000,
cpu_frequency,1763084522258675.500000,3499.956000,
cpu_frequency,1763084522258675.500000,3499.911000,
cpu_frequency,1763084522258675.500000,3499.959000,
cpu_frequency,1763084522258675.500000,3499.934000,
cpu_frequency,1763084522258675.500000,3499.571000,
cpu_frequency,1763084522258675.500000,3500.264000,
cpu_frequency,1763084522258675.500000,3498.975000,
cpu_frequency,1763084522258675.500000,3499.966000,
cpu_frequency,1763084523246149.750000,3509.831000,
cpu_frequency,1763084523246149.750000,3500.000000,
cpu_frequency,1763084523246149.750000,3508.641000,
cpu_frequency,1763084523246149.750000,3501.749000,
cpu_frequency,1763084523246149.750000,3499.706000,
cpu_frequency,1763084523246149.750000,3500.119000,
cpu_frequency,1763084523246149.750000,3489.520000,
cpu_frequency,1763084523246149.750000,3512.027000,
cpu_frequency,1763084523246149.750000,3487.632000,
cpu_frequency,1763084523246149.750000,3502.588000,
cpu_frequency,1763084523246149.750000,3490.028000,
cpu_frequency,1763084523246149.750000,3500.009000,
cpu_frequency,1763084523246149.750000,3509.020000,
cpu_frequency,1763084523246149.750000,3509.333000,
cpu_frequency,1763084523246149.750000,3489.393000,
cpu_frequency,1763084523246149.750000,3491.525000,
cpu_frequency,1763084523246149.750000,3499.994000,
cpu_frequency,1763084523246149.750000,3500.035000,
cpu_frequency,1763084523246149.750000,3499.958000,
cpu_frequency,1763084523246149.750000,3498.019000,
cpu_frequency,1763084523246149.750000,3501.030000,
cpu_frequency,1763084523246149.750000,3499.308000,
cpu_frequency,1763084523246149.750000,3498.258000,
cpu_frequency,1763084523246149.750000,3499.997000,
cpu_frequency,1763084523246149.750000,3499.977000,
cpu_frequency,1763084523246149.750000,3499.918000,
cpu_frequency,1763084523246149.750000,3500.523000,
cpu_frequency,1763084523246149.750000,3500.717000,
cpu_frequency,1763084523246149.750000,3499.849000,
cpu_frequency,1763084523246149.750000,3510.000000,
cpu_frequency,1763084523246149.750000,3500.011000,
cpu_frequency,1763084523246149.750000,3501.196000,
cpu_frequency,1763084523246149.750000,3498.330000,
cpu_frequency,1763084523246149.750000,3492.099000,
cpu_frequency,1763084523246149.750000,3497.917000,
cpu_frequency,1763084523246149.750000,3500.008000,
cpu_frequency,1763084523246149.750000,3500.012000,
cpu_frequency,1763084523246149.750000,3500.015000,
cpu_frequency,1763084523246149.750000,3499.987000,
cpu_frequency,1763084523246149.750000,3499.992000,
cpu_frequency,1763084523246149.750000,3491.686000,
cpu_frequency,1763084523246149.750000,3508.928000,
cpu_frequency,1763084523246149.750000,3501.650000,
cpu_frequency,1763084523246149.750000,3499.337000,
cpu_frequency,1763084523246149.750000,3500.083000,
cpu_frequency,1763084523246149.750000,3499.670000,
cpu_frequency,1763084523246149.750000,3501.135000,
cpu_frequency,1763084523246149.750000,3508.599000,
cpu_frequency,1763084523246149.750000,3500.031000,
cpu_frequency,1763084523246149.750000,3502.094000,
cpu_frequency,1763084523246149.750000,3498.447000,
cpu_frequency,1763084523246149.750000,3500.042000,
cpu_frequency,1763084523246149.750000,3497.252000,
cpu_frequency,1763084523246149.750000,3500.034000,
cpu_frequency,1763084523246149.750000,3500.320000,
cpu_frequency,1763084524207131.250000,3500.004000,
cpu_frequency,1763084524207131.250000,3500.000000,
cpu_frequency,1763084524207131.250000,3499.939000,
cpu_frequency,1763084524207131.250000,3499.952000,
cpu_frequency,1763084524207131.250000,3499.689000,
cpu_frequency,1763084524207131.250000,3499.824000,
cpu_frequency,1763084524207131.250000,3499.786000,
cpu_frequency,1763084524207131.250000,3499.873000,
cpu_frequency,1763084524207131.250000,3499.603000,
cpu_frequency,1763084524207131.250000,3501.498000,
cpu_frequency,1763084524207131.250000,3499.994000,
cpu_frequency,1763084524207131.250000,3499.682000,
cpu_frequency,1763084524207131.250000,3499.936000,
cpu_frequency,1763084524207131.250000,3499.965000,
cpu_frequency,1763084524207131.250000,3499.969000,
cpu_frequency,1763084524207131.250000,3499.947000,
cpu_frequency,1763084524207131.250000,3500.001000,
cpu_frequency,1763084524207131.250000,3498.043000,
cpu_frequency,1763084524207131.250000,3499.365000,
cpu_frequency,1763084524207131.250000,3499.469000,
cpu_frequency,1763084524207131.250000,3500.170000,
cpu_frequency,1763084524207131.250000,3500.779000,
cpu_frequency,1763084524207131.250000,3499.926000,
cpu_frequency,1763084524207131.250000,3499.999000,
cpu_frequency,1763084524207131.250000,3500.064000,
cpu_frequency,1763084524207131.250000,3499.997000,
cpu_frequency,1763084524207131.250000,3500.002000,
cpu_frequency,1763084524207131.250000,3499.998000,
cpu_frequency,1763084524207131.250000,3499.991000,
cpu_frequency,1763084524207131.250000,3500.078000,
cpu_frequency,1763084524207131.250000,3500.032000,
cpu_frequency,1763084524207131.250000,3499.974000,
cpu_frequency,1763084524207131.250000,3500.071000,
cpu_frequency,1763084524207131.250000,3500.024000,
cpu_frequency,1763084524207131.250000,3500.029000,
cpu_frequency,1763084524207131.250000,3499.928000,
cpu_frequency,1763084524207131.250000,3499.979000,
cpu_frequency,1763084524207131.250000,3499.871000,
cpu_frequency,1763084524207131.250000,3500.245000,
cpu_frequency,1763084524207131.250000,3500.171000,
cpu_frequency,1763084524207131.250000,3500.121000,
cpu_frequency,1763084524207131.250000,3499.852000,
cpu_frequency,1763084524207131.250000,3499.898000,
cpu_frequency,1763084524207131.250000,3500.752000,
cpu_frequency,1763084524207131.250000,3488.054000,
cpu_frequency,1763084524207131.250000,3499.413000,
cpu_frequency,1763084524207131.250000,3499.931000,
cpu_frequency,1763084524207131.250000,3499.775000,
cpu_frequency,1763084524207131.250000,3499.945000,
cpu_frequency,1763084524207131.250000,3500.076000,
cpu_frequency,1763084524207131.250000,3499.859000,
cpu_frequency,1763084524207131.250000,3499.760000,
cpu_frequency,1763084524207131.250000,3492.307000,
cpu_frequency,1763084524207131.250000,3499.922000,
cpu_frequency,1763084524207131.250000,3501.731000,
cpu_frequency,1763084524207131.250000,3500.041000,
cpu_frequency,1763084524207131.250000,3499.388000,
cpu_frequency,1763084525215627.500000,3499.957000,
cpu_frequency,1763084525215627.500000,3499.779000,
cpu_frequency,1763084525215627.500000,3500.000000,
cpu_frequency,1763084525215627.500000,3499.986000,
cpu_frequency,1763084525215627.500000,3500.001000,
cpu_frequency,1763084525215627.500000,3499.967000,
cpu_frequency,1763084525215627.500000,3500.049000,
cpu_frequency,1763084525215627.500000,3500.420000,
cpu_frequency,1763084525215627.500000,3499.620000,
cpu_frequency,1763084525215627.500000,3499.943000,
cpu_frequency,1763084525215627.500000,3499.492000,
cpu_frequency,1763084525215627.500000,3500.014000,
cpu_frequency,1763084525215627.500000,3500.142000,
cpu_frequency,1763084525215627.500000,3493.566000,
cpu_frequency,1763084525215627.500000,3497.418000,
cpu_frequency,1763084525215627.500000,3498.436000,
cpu_frequency,1763084525215627.500000,3498.503000,
cpu_frequency,1763084525215627.500000,3503.787000,
cpu_frequency,1763084525215627.500000,3500.003000,
cpu_frequency,1763084525215627.500000,3499.893000,
cpu_frequency,1763084525215627.500000,3500.058000,
cpu_frequency,1763084525215627.500000,3499.965000,
cpu_frequency,1763084525215627.500000,3500.095000,
cpu_frequency,1763084525215627.500000,3508.454000,
cpu_frequency,1763084525215627.500000,3496.428000,
cpu_frequency,1763084525215627.500000,3499.999000,
cpu_frequency,1763084525215627.500000,3499.257000,
cpu_frequency,1763084525215627.500000,3500.207000,
cpu_frequency,1763084525215627.500000,3508.536000,
cpu_frequency,1763084525215627.500000,3500.578000,
cpu_frequency,1763084525215627.500000,3499.787000,
cpu_frequency,1763084525215627.500000,3500.498000,
cpu_frequency,1763084525215627.500000,3500.088000,
cpu_frequency,1763084525215627.500000,3500.110000,
cpu_frequency,1763084525215627.500000,3500.070000,
cpu_frequency,1763084525215627.500000,3504.539000,
cpu_frequency,1763084525215627.500000,3500.100000,
cpu_frequency,1763084525215627.500000,3492.170000,
cpu_frequency,1763084525215627.500000,3500.009000,
cpu_frequency,1763084525215627.500000,3499.724000,
cpu_frequency,1763084525215627.500000,3501.621000,
cpu_frequency,1763084525215627.500000,3499.996000,
cpu_frequency,1763084525215627.500000,3508.373000,
cpu_frequency,1763084525215627.500000,3500.598000,
cpu_frequency,1763084525215627.500000,3500.044000,
cpu_frequency,1763084525215627.500000,3500.012000,
